created_at,id,invite_token,location_policy,name,owner_id,type
2026-08-18T16:59:15.753+00:00,ccfd349e-2a2d-473d-88d4-43fdf8a88f64,1e2e680778,anyone,신인류 팀플!!!🙌,2ee16d3e-6148-4325-9e77-e5722759e50c,team
2026-08-18T23:22:01.584+00:00,6353b3da-6f7b-42a4-ae31-cd0f2b4a07e0,b0b534c86e,anyone,가족,2ee16d3e-6148-4325-9e77-e5722759e50c,family
2026-08-18T23:28:13.554+00:00,145e1aed-97bf-4862-9604-f10c49c0bd52,de79ce6a7e,anyone,친구,2ee16d3e-6148-4325-9e77-e5722759e50c,friends
2026-08-18T23:33:31.279+00:00,8c272462-dd50-41c6-8aae-87479e0cde8e,06a6de6d48,anyone,TEST_01,2ee16d3e-6148-4325-9e77-e5722759e50c,team
2026-08-18T23:49:02.073+00:00,b88ef455-8128-48bc-a76b-f655852d7705,af1fc16f2a,anyone,생존,d4168bf3-453b-4da2-87b2-d511eaeaa32d,company
2026-08-19T00:03:41.865+00:00,5a66a590-a15a-4393-89af-9a827c40496c,ff0d5de2c5,anyone,기흔짱,40913e98-6333-4278-8e76-0c5af4f02fbe,friends
2026-08-19T00:03:43.561+00:00,9943e9e4-5b36-44c6-b235-6a21056c9b61,d3064550bb,anyone,기흔짱,40913e98-6333-4278-8e76-0c5af4f02fbe,friends
2026-08-19T01:29:49.619+00:00,ab5be0e3-d3be-4dc8-b0e8-916ac6e88618,b3f5ae3baa,anyone,ㅇㅇㅇ,2ee16d3e-6148-4325-9e77-e5722759e50c,friends
2026-08-18T16:37:34.844+00:00,aee62279-f72e-466a-9c65-1fade55d4615,daec631c61,leader_only,팀플,2ee16d3e-6148-4325-9e77-e5722759e50c,team
2026-08-20T04:40:36.399+00:00,8b9967c5-f0a6-4035-8fdf-f18bce182da2,b1f314d3ab,leader_only,운명공동체,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2,friends
2026-08-20T04:43:32.694+00:00,0ab783c3-633d-4558-b28f-55e7754b893a,eec43c574e,leader_only,🌸,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2,company
2026-08-20T04:50:43.805+00:00,8f9e1f0e-c8e4-462d-9625-8864cc8731ab,70bdda66b4,leader_only,중학교 친구들,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2,friends
2026-08-20T04:54:42.461+00:00,24b4fd54-9eeb-45cb-9d94-9937b8791296,d134f5f09f,leader_only,고등학교 친구들,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2,friends
2026-08-20T05:41:00.435+00:00,8b59a2d0-601b-4563-9f56-522f134c01c0,d5314ff71c,anyone,하하,10f4fc30-b881-4d48-96a2-497319d9d923,friends
2026-08-20T05:42:40.979+00:00,48fa7f72-c679-4e59-bbf2-606fdba7a83e,926b8883fa,anyone,능쥬,10f4fc30-b881-4d48-96a2-497319d9d923,friends
2026-08-20T05:44:55.825+00:00,8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,8e087d080a,anyone,Team 혜진,10f4fc30-b881-4d48-96a2-497319d9d923,friends
2026-08-19T13:21:03.091+00:00,d42db786-d596-404b-98bc-1d77dcb16724,d11e260676,leader_only,커비파티,bf80e6f3-4411-4f41-a1b8-ef7780c31ef9,friends
2026-08-20T12:03:57.562+00:00,f49b5f18-f8f6-4acf-a188-898e35d2fd49,8afda4a8b8,leader_only,Yumpick,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2,team
